bioproject	biosample	run_accession	library_layout	instrument	fastq_paths	g5_use	g5_use_rule	disease_label_included
PRJNA360417	SAMN06246878	SRR5298522	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA360417/SRR5298522/SRR5298522_1.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298522/SRR5298522_2.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298522/SRR5298522.fastq.gz	POST_FREEZE_PLATFORM_TRANSFER_ONLY	not read by any development or tuning step; applied only after g5_caller_rules.tsv sha256 is frozen	NO
PRJNA360417	SAMN06250733	SRR5298526	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA360417/SRR5298526/SRR5298526_1.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298526/SRR5298526_2.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298526/SRR5298526.fastq.gz	POST_FREEZE_PLATFORM_TRANSFER_ONLY	not read by any development or tuning step; applied only after g5_caller_rules.tsv sha256 is frozen	NO
PRJNA360417	SAMN06250976	SRR5298527	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA360417/SRR5298527/SRR5298527_1.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298527/SRR5298527_2.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298527/SRR5298527.fastq.gz	POST_FREEZE_PLATFORM_TRANSFER_ONLY	not read by any development or tuning step; applied only after g5_caller_rules.tsv sha256 is frozen	NO
PRJNA360417	SAMN06251160	SRR5298529	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA360417/SRR5298529/SRR5298529_1.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298529/SRR5298529_2.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298529/SRR5298529.fastq.gz	POST_FREEZE_PLATFORM_TRANSFER_ONLY	not read by any development or tuning step; applied only after g5_caller_rules.tsv sha256 is frozen	NO
PRJNA360417	SAMN06251163	SRR5298530	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA360417/SRR5298530/SRR5298530_1.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298530/SRR5298530_2.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298530/SRR5298530.fastq.gz	POST_FREEZE_PLATFORM_TRANSFER_ONLY	not read by any development or tuning step; applied only after g5_caller_rules.tsv sha256 is frozen	NO
PRJNA360417	SAMN06251192	SRR5298531	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA360417/SRR5298531/SRR5298531_1.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298531/SRR5298531_2.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298531/SRR5298531.fastq.gz	POST_FREEZE_PLATFORM_TRANSFER_ONLY	not read by any development or tuning step; applied only after g5_caller_rules.tsv sha256 is frozen	NO
PRJNA360417	SAMN06246771	SRR5298521	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA360417/SRR5298521/SRR5298521_1.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298521/SRR5298521_2.fastq.gz	POST_FREEZE_PLATFORM_TRANSFER_ONLY	not read by any development or tuning step; applied only after g5_caller_rules.tsv sha256 is frozen	NO
PRJNA360417	SAMN06250692	SRR5298525	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA360417/SRR5298525/SRR5298525_1.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298525/SRR5298525_2.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298525/SRR5298525.fastq.gz	POST_FREEZE_PLATFORM_TRANSFER_ONLY	not read by any development or tuning step; applied only after g5_caller_rules.tsv sha256 is frozen	NO
PRJNA360417	SAMN06251087	SRR5298528	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA360417/SRR5298528/SRR5298528_1.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298528/SRR5298528_2.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298528/SRR5298528.fastq.gz	POST_FREEZE_PLATFORM_TRANSFER_ONLY	not read by any development or tuning step; applied only after g5_caller_rules.tsv sha256 is frozen	NO
PRJNA622860	SAMN14531021	SRR11474127	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474127/SRR11474127_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474127/SRR11474127_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531022	SRR11474126	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474126/SRR11474126_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474126/SRR11474126_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531023	SRR11474115	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474115/SRR11474115_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474115/SRR11474115_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531024	SRR11474104	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474104/SRR11474104_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474104/SRR11474104_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531025	SRR11474094	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474094/SRR11474094_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474094/SRR11474094_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531026	SRR11474093	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474093/SRR11474093_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474093/SRR11474093_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531027	SRR11474092	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474092/SRR11474092_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474092/SRR11474092_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531028	SRR11474130	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474130/SRR11474130_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474130/SRR11474130_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531029	SRR11474129	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474129/SRR11474129_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474129/SRR11474129_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531030	SRR11474128	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474128/SRR11474128_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474128/SRR11474128_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531031	SRR11474125	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474125/SRR11474125_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474125/SRR11474125_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531032	SRR11474124	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474124/SRR11474124_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474124/SRR11474124_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531033	SRR11474123	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474123/SRR11474123_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474123/SRR11474123_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531034	SRR11474122	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474122/SRR11474122_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474122/SRR11474122_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531035	SRR11474121	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474121/SRR11474121_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474121/SRR11474121_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531036	SRR11474120	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474120/SRR11474120_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474120/SRR11474120_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531037	SRR11474119	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474119/SRR11474119_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474119/SRR11474119_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531038	SRR11474118	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474118/SRR11474118_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474118/SRR11474118_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531039	SRR11474117	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474117/SRR11474117_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474117/SRR11474117_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531040	SRR11474116	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474116/SRR11474116_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474116/SRR11474116_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531041	SRR11474114	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474114/SRR11474114_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474114/SRR11474114_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531042	SRR11474113	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474113/SRR11474113_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474113/SRR11474113_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531043	SRR11474112	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474112/SRR11474112_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474112/SRR11474112_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531044	SRR11474111	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474111/SRR11474111_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474111/SRR11474111_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531045	SRR11474110	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474110/SRR11474110_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474110/SRR11474110_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531046	SRR11474109	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474109/SRR11474109_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474109/SRR11474109_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531047	SRR11474108	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474108/SRR11474108_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474108/SRR11474108_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531048	SRR11474107	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474107/SRR11474107_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474107/SRR11474107_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531049	SRR11474106	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474106/SRR11474106_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474106/SRR11474106_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531050	SRR11474105	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474105/SRR11474105_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474105/SRR11474105_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531051	SRR11474103	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474103/SRR11474103_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474103/SRR11474103_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531052	SRR11474102	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474102/SRR11474102_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474102/SRR11474102_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531053	SRR11474101	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474101/SRR11474101_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474101/SRR11474101_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531054	SRR11474100	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474100/SRR11474100_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474100/SRR11474100_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531055	SRR11474099	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474099/SRR11474099_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474099/SRR11474099_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531056	SRR11474098	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474098/SRR11474098_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474098/SRR11474098_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531057	SRR11474097	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474097/SRR11474097_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474097/SRR11474097_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531058	SRR11474096	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474096/SRR11474096_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474096/SRR11474096_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
PRJNA622860	SAMN14531059	SRR11474095	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA622860/SRR11474095/SRR11474095_1.fastq.gz;data/raw/g4_phase1/PRJNA622860/SRR11474095/SRR11474095_2.fastq.gz	CALIBRATION_AND_DEVELOPMENT	allowed for caller development and threshold calibration (within-host validation study; no disease label used)	NO
NA	NA	NA	NA	NA	NA	CALIBRATION_AND_DEVELOPMENT	synthetic reads generated from the reference panel (results/g5/g5_synthetic_*.tsv)	NO
NA	NA	NA	NA	NA	NA	CALIBRATION_AND_DEVELOPMENT	reference genomes (metadata/g5/g5_reference_panel.tsv)	NO
