bioproject	n_biosamples_total	n_correa_biosamples	country	platform	g7_publication_found	pmid	doi	g7_patient_independence_status	g7_independent_patient_count	disease_label_provenance	public_sequence_confirmed	same_patient_multi_isolate	g7_source_verification_status	notes
PRJNA1489282	6	6	China	ILLUMINA_SHORT	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	REPOSITORY_ONLY (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA165757	1	1	Malaysia	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	SOURCE_VERIFIED_PARTIAL (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA203445	76	75	Australia;Mexico	ILLUMINA_SHORT;PACBIO_LONG;UNKNOWN	PARTIAL (umbrella project; no single dedicated H. pylori cohort paper)	NA (multiple NCBI-linked PMIDs, none a dedicated H. pylori cohort study covering the full sample set)	NA	NOT_ESTABLISHED	UNKNOWN	"BIOSAMPLE_FIELD_ONLY (isolation_source = ""stomach"" for read-based subset; no per-sample Correa stage found in any linked paper)"	YES (repository has 16 ENA runs + 75-76 assemblies; retrievable)	UNKNOWN	PATIENT_INDEPENDENCE_NOT_ESTABLISHED	"Confirmed via direct NCBI BioProject page fetch: title ""Bacteria - Major food bacterial pathogens genome sequencing project"", description names Salmonella, E. coli, Shigella, Listeria, Campylobacter, Vibrio as focus organisms (H. pylori is one of several pathogens later added to this umbrella, per general 100K Pathogen Genome Project literature), submitter UC Davis, registered 2016-09-30. NCBI elink lists 3 PMIDs (25814612, 27260356, 33643927); 25814612 and 27260356 are about a different clinica"
PRJNA219052	1	1	Russia	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	NOT_HIGH_PRIORITY (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA219053	1	1	Russia	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	NOT_HIGH_PRIORITY (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA242766	19	19	Nicaragua	ILLUMINA_SHORT	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	CONFLICT (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA243598	1	1	United Kingdom	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	NOT_HIGH_PRIORITY (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA264984	1	1	Mexico	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	NOT_HIGH_PRIORITY (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA276970	1	1	United States	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	NOT_HIGH_PRIORITY (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA316597	1	1	France	ILLUMINA_SHORT	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	NOT_HIGH_PRIORITY (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA338771	12	12	Mexico	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	CONFLICT (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA342928	1	1	Singapore	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	NOT_HIGH_PRIORITY (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA342930	11	11	Singapore	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	REPOSITORY_ONLY (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA344000	1	1	Singapore	ILLUMINA_SHORT	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	NOT_HIGH_PRIORITY (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA350256	5	5	Sweden	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	REPOSITORY_ONLY (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA352848	15	15	Colombia	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	CONFLICT (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA360417	13	13	Colombia	ILLUMINA_SHORT	YES (established at G3)	NA	NA	CONFIRMED_AT_G3	13	SAMPLE_LEVEL_PUBLICATION_TABLE_OR_STRAIN_FIELD (G3)	YES	NO (G3 finding)	SOURCE_VERIFIED_AT_G3_NOT_REVISITED	Established at G3 disease pilot selection (metadata/g3/g3_disease_pilot_manifest.tsv, reports/checkpoints/G3_CHECKPOINT.md); not re-verified in G7.
PRJNA395900	20	20	Belgium;France;Ireland;Sweden	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	CONFLICT (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA479414	12	12	France;Iran;Sweden	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	SOURCE_VERIFIED_PARTIAL (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA482300	87	87	China;Japan	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	SOURCE_VERIFIED_PARTIAL (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA490474	469	110	Germany	ILLUMINA_SHORT;UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	CONFIRMED;CONFLICT	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	CONFLICT (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA494865	1	1	UNKNOWN	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	NOT_HIGH_PRIORITY (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA513874	7	7	Mexico	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	SOURCE_VERIFIED_PARTIAL (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA521871	19	19	Nicaragua	UNKNOWN	NO	NA	NA	CONFIRMED_EXACT_MAPPING	24	BIOSAMPLE_FIELD_ONLY	YES (24 assemblies retrievable via NCBI/ENA)	UNKNOWN (each Nic## strain number appears once in the inspected rows, e.g. Nic50-A, Nic51-C, Nic52-C are distinct Nic-numbers each with a single biopsy-site suffix, not two BioSamples sharing one Nic-number; but this was not exhaustively checked across all 24 rows)	SOURCE_VERIFIED_PATIENT_INDEPENDENCE_CONFIRMED_REPOSITORY_LEVEL	"Renewed search (EuropePMC/NCBI generic query, ""PRJNA521871""+Nicaragua, GCA_011174935-based search) again found no associated peer-reviewed publication; BioProject title is generic (""Helicobacter pylori Genome sequencing and assembly"", University of Gothenburg submitter per public search result, registered 2020-03-12) which prevents title-based literature search, consistent with prior workstream conclusion (PV0112: NO_PUBLICATION_FOUND). The Gothenburg/Thorell group is associated with other named"
PRJNA601302	37	37	Brazil;Canada;Honduras	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	SOURCE_VERIFIED_PARTIAL (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA604073	9	9	Colombia	ILLUMINA_SHORT	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	CONFLICT (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA678459	10	10	China	ILLUMINA_SHORT	NO	NA	NA	CONFIRMED_EXACT_MAPPING	10	BIOSAMPLE_FIELD_ONLY	YES (10 SRA runs listed, ENA/NCBI)	NO	SOURCE_VERIFIED_PATIENT_INDEPENDENCE_CONFIRMED_REPOSITORY_LEVEL	"No publication located despite renewed search (EuropePMC accession search, PubMed keyword search for ""Lanzhou University Second Hospital""/Gansu/Loess Plateau H. pylori genome papers, and generic ""PRJNA678459"" web search) -- consistent with prior G3/publication_verification workstream conclusion (NO_PUBLICATION_FOUND, PV0019). BioProject submitter is Lanzhou University Second Hospital (deposited 2020-12-18). Patient independence is CONFIRMED but the evidence is repository BioSample host_subject_i"
PRJNA681870	46	46	Mexico	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	SOURCE_VERIFIED_PARTIAL (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA689207	6	6	Vietnam	ILLUMINA_SHORT	YES	34593031	10.1186/s13099-021-00452-2	NOT_ESTABLISHED	UNKNOWN (paper gives 83 isolates from up to 95 culture-positive patients of 161 enrolled; text does not state whether each of the 83 sequenced isolates corresponds to a distinct patient, nor rule out a patient contributing to more than one of the 83)	COHORT_LEVEL_ONLY (no per-sample/per-patient diagnosis table located; repository disease strings are BioSample-field-only, not paper-sourced)	YES (83 SRA runs, NCBI BioProject PRJNA689207)	"NO (per repository structure: each of the 83 BioSamples has a unique strain code GD## and a single combined isolation_source string ""Gastric antrum and corpus"" rather than separate antrum/corpus BioSamples per patient -- consistent with, but not proof of, one isolate per patient; no GD## code is duplicated across BioSamples in the inspected rows)"	PATIENT_INDEPENDENCE_NOT_ESTABLISHED	"Data availability statement (fetched via EuropePMC fullTextXML for PMC8482589): ""Readsets for isolates sequenced as part of this study are available at National Center for Biotechnology (NCBI) under BioProject PRJNA689207."" Enrollment/culture text: ""One hundred sixty-one patients were enrolled in the study from August 2016 to February 2017... H. pylori was cultured from 59% (95/161) patients, although only 87.4% (83/95) of these isolates could be revived and analysed."" No sentence states ""one is"
PRJNA690879	67	67	China	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	SOURCE_VERIFIED_FULL (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA718481	6	6	China	ILLUMINA_SHORT	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	REPOSITORY_ONLY (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA727927	2	2	India	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	SOURCE_VERIFIED_PARTIAL (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA807891	1	1	India	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	REPOSITORY_ONLY (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA816422	106	42	China	ILLUMINA_SHORT;ILLUMINA_SHORT;ONT_LONG	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	CONFLICT (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA984677	13	13	Colombia	ILLUMINA_SHORT	YES	39037311	10.1128/mra.01232-23	NOT_ESTABLISHED	"UNKNOWN (paper states 16 participants and Table 1 lists 16 isolates, suggestive of 1:1, but no sentence explicitly states ""one isolate per patient"" and no exact sample-to-patient-ID mapping was recovered from the fetched text)"	SAMPLE_LEVEL_TABLE	YES (16 SRA runs, NCBI BioProject PRJNA984677)	UNKNOWN	PATIENT_INDEPENDENCE_NOT_ESTABLISHED	"Data availability statement (PMC11320965 full text via EuropePMC fullTextXML): ""This whole-genome shotgun project has been archived in the NCBI database under the accession number PRJNA984677. Detailed accession numbers for individual genomes are presented in Table 1."" Table 1 gives per-sample Correa-cascade labels; fetched extraction reads IM=5, NAG=9, CAG=3 (sums to 17, one more than 16 samples) while the paper's running text separately states ""Histopathology results revealed that 11 patients "
