bioproject	biosample	run_accession	cohort_role	disease_harmonized	patient_unit_or_basis	library_layout	instrument	fastq_url_1	fastq_url_2	fastq_url_unpaired	expected_bytes	expected_bytes_1	expected_bytes_2	expected_bytes_unpaired	expected_md5_1	expected_md5_2	expected_md5_unpaired	ena_read_count	ena_base_count	local_path_1	local_path_2	local_path_unpaired	download_status	checksum_status	actual_bytes
PRJNA360417	SAMN06246878	SRR5298522	DISEASE_PILOT	AG	PRJNA360417|PZ5016	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/002/SRR5298522/SRR5298522_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/002/SRR5298522/SRR5298522_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/002/SRR5298522/SRR5298522.fastq.gz	23163669	9598452	12448833	1116384	5e6120c66d0055df5e5403a926885559	ff1a73df3a10f764fe920ecbe3f32a5d	dd36037ee6602d57b357d1c11a1bd4cf	110176	51962456	data/raw/g4_phase1/PRJNA360417/SRR5298522/SRR5298522_1.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298522/SRR5298522_2.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298522/SRR5298522.fastq.gz	DOWNLOADED	PASS	23163669
PRJNA360417	SAMN06250733	SRR5298526	DISEASE_PILOT	NAG	PRJNA360417|SV340	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/006/SRR5298526/SRR5298526_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/006/SRR5298526/SRR5298526_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/006/SRR5298526/SRR5298526.fastq.gz	30197917	12432535	17078696	686686	73efb6b88633d3bf14b2c655236de681	5aed726a8ff6641ae3715acce769c8e0	55b5cfa44a6d8bb4f52069aa1a89d3c5	117195	57283454	data/raw/g4_phase1/PRJNA360417/SRR5298526/SRR5298526_1.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298526/SRR5298526_2.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298526/SRR5298526.fastq.gz	DOWNLOADED	PASS	30197917
PRJNA360417	SAMN06250976	SRR5298527	DISEASE_PILOT	IM	PRJNA360417|SV355	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/007/SRR5298527/SRR5298527_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/007/SRR5298527/SRR5298527_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/007/SRR5298527/SRR5298527.fastq.gz	30512172	12522914	17374912	614346	7c37133ef487608ac906c1cbe21e1f15	6c515e5b67c0a0bfc4620a9651c94dc0	7a7d263bacc7df78fe01959c25be9d15	117972	57806591	data/raw/g4_phase1/PRJNA360417/SRR5298527/SRR5298527_1.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298527/SRR5298527_2.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298527/SRR5298527.fastq.gz	DOWNLOADED	PASS	30512172
PRJNA360417	SAMN06251160	SRR5298529	DISEASE_PILOT	NAG	PRJNA360417|SV397	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/009/SRR5298529/SRR5298529_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/009/SRR5298529/SRR5298529_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/009/SRR5298529/SRR5298529.fastq.gz	29366590	11973165	16745560	647865	f67692d90a22f0ccf1a6dfc3e0a2812f	93d0327c9308cbe52f3d7ae13259feaf	6c46feea5f15f8d93dc2074881fc5b2f	113107	55731287	data/raw/g4_phase1/PRJNA360417/SRR5298529/SRR5298529_1.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298529/SRR5298529_2.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298529/SRR5298529.fastq.gz	DOWNLOADED	PASS	29366590
PRJNA360417	SAMN06251163	SRR5298530	DISEASE_PILOT	IM	PRJNA360417|SV449	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/000/SRR5298530/SRR5298530_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/000/SRR5298530/SRR5298530_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/000/SRR5298530/SRR5298530.fastq.gz	26299059	10720229	14966433	612397	3cfdb0b5592b2114817a3f0ca5f06959	6e3bcaa2344d1a7d34290ed39d34a1fc	3314ee054696f8337495c7bfe14d4d9b	101317	49157857	data/raw/g4_phase1/PRJNA360417/SRR5298530/SRR5298530_1.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298530/SRR5298530_2.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298530/SRR5298530.fastq.gz	DOWNLOADED	PASS	26299059
PRJNA360417	SAMN06251192	SRR5298531	DISEASE_PILOT	IM	PRJNA360417|SV380	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/001/SRR5298531/SRR5298531_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/001/SRR5298531/SRR5298531_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/001/SRR5298531/SRR5298531.fastq.gz	30047107	12346924	16989432	710751	4f728e25323bfa279dcc76d767b610a8	9c14fda9193aafae568258e2ca6600d8	9188932c0ce56dfc87d745ebd8dcdecc	117386	57315666	data/raw/g4_phase1/PRJNA360417/SRR5298531/SRR5298531_1.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298531/SRR5298531_2.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298531/SRR5298531.fastq.gz	DOWNLOADED	PASS	30047107
PRJNA360417	SAMN06246771	SRR5298521	DISEASE_PILOT	NAG	PRJNA360417|PZ5006	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/001/SRR5298521/SRR5298521_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/001/SRR5298521/SRR5298521_2.fastq.gz	NA	64564980	30106186	34458794	NA	4e0b2ba713d9fe66d04c62e58a46314a	ede97982c9a14e4a816d37acc8bd09c3	NA	186826	93714305	data/raw/g4_phase1/PRJNA360417/SRR5298521/SRR5298521_1.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298521/SRR5298521_2.fastq.gz	NA	DOWNLOADED	PASS	64564980
PRJNA360417	SAMN06250692	SRR5298525	DISEASE_PILOT	DYS	PRJNA360417|SV328	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/005/SRR5298525/SRR5298525_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/005/SRR5298525/SRR5298525_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/005/SRR5298525/SRR5298525.fastq.gz	28262836	11361790	16267199	633847	a55470fc13c48d0b4924c66d3ac86e61	3213bf3bd1438a4a867683cf69e76458	cac96db46c5a265c840ea83f8bcb9aae	106476	52044495	data/raw/g4_phase1/PRJNA360417/SRR5298525/SRR5298525_1.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298525/SRR5298525_2.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298525/SRR5298525.fastq.gz	DOWNLOADED	PASS	28262836
PRJNA360417	SAMN06251087	SRR5298528	DISEASE_PILOT	IM	PRJNA360417|SV376	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/008/SRR5298528/SRR5298528_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/008/SRR5298528/SRR5298528_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/008/SRR5298528/SRR5298528.fastq.gz	24947850	9624312	12753412	2570126	679f406fccc69a05f679e4bca87f1e0c	9c2d681482dd72dd7440980ffbea0e00	bb5e274353c174558a19c38dce21dd17	104288	44047436	data/raw/g4_phase1/PRJNA360417/SRR5298528/SRR5298528_1.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298528/SRR5298528_2.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298528/SRR5298528.fastq.gz	DOWNLOADED	PASS	24947850
PRJNA622860	SAMN14531021	SRR11474127	WITHIN_HOST_VALIDATION	UNKNOWN	SINGLE_HOST_SOURCE_STATED (no BioSample patient code)	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/027/SRR11474127/SRR11474127_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/027/SRR11474127/SRR11474127_2.fastq.gz	NA	223307627	100293423	123014204	NA	566e749c5ccc80d21664d023a30032e9	bb2bfeda2ffe5f5016df5bf4279b2b0b	NA	600346	301229506	data/raw/g4_phase1/PRJNA622860/SRR11474127/SRR11474127_1.fastq.gz	data/raw/g4_phase1/PRJNA622860/SRR11474127/SRR11474127_2.fastq.gz	NA	DOWNLOADED	PASS	223307627
PRJNA622860	SAMN14531022	SRR11474126	WITHIN_HOST_VALIDATION	UNKNOWN	SINGLE_HOST_SOURCE_STATED (no BioSample patient code)	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/026/SRR11474126/SRR11474126_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/026/SRR11474126/SRR11474126_2.fastq.gz	NA	118020564	52798778	65221786	NA	6eb325822292e478ffd78973bf8b29bc	7745de36c1b74d7ffe5819a8d7165f99	NA	310489	160030582	data/raw/g4_phase1/PRJNA622860/SRR11474126/SRR11474126_1.fastq.gz	data/raw/g4_phase1/PRJNA622860/SRR11474126/SRR11474126_2.fastq.gz	NA	DOWNLOADED	PASS	118020564
PRJNA622860	SAMN14531023	SRR11474115	WITHIN_HOST_VALIDATION	UNKNOWN	SINGLE_HOST_SOURCE_STATED (no BioSample patient code)	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/015/SRR11474115/SRR11474115_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/015/SRR11474115/SRR11474115_2.fastq.gz	NA	339807545	153490328	186317217	NA	455db66edd06b0fc1e924802cefa1fde	cd706c91ac440135a18a7a08eed72f9f	NA	800966	445066325	data/raw/g4_phase1/PRJNA622860/SRR11474115/SRR11474115_1.fastq.gz	data/raw/g4_phase1/PRJNA622860/SRR11474115/SRR11474115_2.fastq.gz	NA	DOWNLOADED	PASS	339807545
PRJNA622860	SAMN14531024	SRR11474104	WITHIN_HOST_VALIDATION	UNKNOWN	SINGLE_HOST_SOURCE_STATED (no BioSample patient code)	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/004/SRR11474104/SRR11474104_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/004/SRR11474104/SRR11474104_2.fastq.gz	NA	163175990	73012272	90163718	NA	b58580600ed758d1d895c5ccbf96ec31	39035f7248283faaa268acc22bd7dfe1	NA	368034	208939429	data/raw/g4_phase1/PRJNA622860/SRR11474104/SRR11474104_1.fastq.gz	data/raw/g4_phase1/PRJNA622860/SRR11474104/SRR11474104_2.fastq.gz	NA	DOWNLOADED	PASS	163175990
PRJNA622860	SAMN14531025	SRR11474094	WITHIN_HOST_VALIDATION	UNKNOWN	SINGLE_HOST_SOURCE_STATED (no BioSample patient code)	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/094/SRR11474094/SRR11474094_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/094/SRR11474094/SRR11474094_2.fastq.gz	NA	250737577	112955027	137782550	NA	2825c99e21de190819f64b233154fd8d	e253812afa3541ccadccd3dbe7bf37ad	NA	617363	335958055	data/raw/g4_phase1/PRJNA622860/SRR11474094/SRR11474094_1.fastq.gz	data/raw/g4_phase1/PRJNA622860/SRR11474094/SRR11474094_2.fastq.gz	NA	DOWNLOADED	PASS	250737577
PRJNA622860	SAMN14531026	SRR11474093	WITHIN_HOST_VALIDATION	UNKNOWN	SINGLE_HOST_SOURCE_STATED (no BioSample patient code)	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/093/SRR11474093/SRR11474093_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/093/SRR11474093/SRR11474093_2.fastq.gz	NA	251159804	112511462	138648342	NA	fa82600fcf85922faeea5511c430b11c	3939acfbc6d9b4fa5aac1ba035caddab	NA	669587	341462226	data/raw/g4_phase1/PRJNA622860/SRR11474093/SRR11474093_1.fastq.gz	data/raw/g4_phase1/PRJNA622860/SRR11474093/SRR11474093_2.fastq.gz	NA	DOWNLOADED	PASS	251159804
PRJNA622860	SAMN14531027	SRR11474092	WITHIN_HOST_VALIDATION	UNKNOWN	SINGLE_HOST_SOURCE_STATED (no BioSample patient code)	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/092/SRR11474092/SRR11474092_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/092/SRR11474092/SRR11474092_2.fastq.gz	NA	205348488	92704298	112644190	NA	08fbabe108a5fe97439d19d544491767	26a2c4395d7d1232e39d05a8d72d160e	NA	538666	277285189	data/raw/g4_phase1/PRJNA622860/SRR11474092/SRR11474092_1.fastq.gz	data/raw/g4_phase1/PRJNA622860/SRR11474092/SRR11474092_2.fastq.gz	NA	DOWNLOADED	PASS	205348488
PRJNA622860	SAMN14531028	SRR11474130	WITHIN_HOST_VALIDATION	UNKNOWN	SINGLE_HOST_SOURCE_STATED (no BioSample patient code)	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/030/SRR11474130/SRR11474130_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/030/SRR11474130/SRR11474130_2.fastq.gz	NA	305294445	137295763	167998682	NA	edf1f72375bd3d68b8545d71c1a27d4c	fe84a993417b8b0927674b9690cc884f	NA	827090	417622157	data/raw/g4_phase1/PRJNA622860/SRR11474130/SRR11474130_1.fastq.gz	data/raw/g4_phase1/PRJNA622860/SRR11474130/SRR11474130_2.fastq.gz	NA	DOWNLOADED	PASS	305294445
PRJNA622860	SAMN14531029	SRR11474129	WITHIN_HOST_VALIDATION	UNKNOWN	SINGLE_HOST_SOURCE_STATED (no BioSample patient code)	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/029/SRR11474129/SRR11474129_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/029/SRR11474129/SRR11474129_2.fastq.gz	NA	179392042	80536922	98855120	NA	8ecb06a398b5412294afd938e34c6ca8	51716e4c3f7cbfbe75f1b4a72728da1b	NA	467360	240559697	data/raw/g4_phase1/PRJNA622860/SRR11474129/SRR11474129_1.fastq.gz	data/raw/g4_phase1/PRJNA622860/SRR11474129/SRR11474129_2.fastq.gz	NA	DOWNLOADED	PASS	179392042
PRJNA622860	SAMN14531030	SRR11474128	WITHIN_HOST_VALIDATION	UNKNOWN	SINGLE_HOST_SOURCE_STATED (no BioSample patient code)	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/028/SRR11474128/SRR11474128_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/028/SRR11474128/SRR11474128_2.fastq.gz	NA	143634402	63906130	79728272	NA	f83e2f1a9cd4cd9e11d57bb5e04c32e9	9405baef658db637956b4ff96365d56a	NA	356381	191346051	data/raw/g4_phase1/PRJNA622860/SRR11474128/SRR11474128_1.fastq.gz	data/raw/g4_phase1/PRJNA622860/SRR11474128/SRR11474128_2.fastq.gz	NA	DOWNLOADED	PASS	143634402
PRJNA622860	SAMN14531031	SRR11474125	WITHIN_HOST_VALIDATION	UNKNOWN	SINGLE_HOST_SOURCE_STATED (no BioSample patient code)	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/025/SRR11474125/SRR11474125_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/025/SRR11474125/SRR11474125_2.fastq.gz	NA	160842001	71869021	88972980	NA	d52375086603231be4fb343f1402b802	008c736c27e047d8249c482fde398da2	NA	387158	212979556	data/raw/g4_phase1/PRJNA622860/SRR11474125/SRR11474125_1.fastq.gz	data/raw/g4_phase1/PRJNA622860/SRR11474125/SRR11474125_2.fastq.gz	NA	DOWNLOADED	PASS	160842001
PRJNA622860	SAMN14531032	SRR11474124	WITHIN_HOST_VALIDATION	UNKNOWN	SINGLE_HOST_SOURCE_STATED (no BioSample patient code)	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/024/SRR11474124/SRR11474124_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/024/SRR11474124/SRR11474124_2.fastq.gz	NA	122976206	54510782	68465424	NA	4f900b5d4d2be6e60ca140e5c95d49ff	5f0c846a8da79039ea7b9ce892beb635	NA	266380	147558415	data/raw/g4_phase1/PRJNA622860/SRR11474124/SRR11474124_1.fastq.gz	data/raw/g4_phase1/PRJNA622860/SRR11474124/SRR11474124_2.fastq.gz	NA	DOWNLOADED	PASS	122976206
PRJNA622860	SAMN14531033	SRR11474123	WITHIN_HOST_VALIDATION	UNKNOWN	SINGLE_HOST_SOURCE_STATED (no BioSample patient code)	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/023/SRR11474123/SRR11474123_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/023/SRR11474123/SRR11474123_2.fastq.gz	NA	184357075	88548518	95808557	NA	cc3035438ebcae7a5d7ebbf699a149f1	45764f33919caa8341cfd068c83bef09	NA	1210661	284077373	data/raw/g4_phase1/PRJNA622860/SRR11474123/SRR11474123_1.fastq.gz	data/raw/g4_phase1/PRJNA622860/SRR11474123/SRR11474123_2.fastq.gz	NA	DOWNLOADED	PASS	184357075
PRJNA622860	SAMN14531034	SRR11474122	WITHIN_HOST_VALIDATION	UNKNOWN	SINGLE_HOST_SOURCE_STATED (no BioSample patient code)	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/022/SRR11474122/SRR11474122_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/022/SRR11474122/SRR11474122_2.fastq.gz	NA	183175999	82111500	101064499	NA	0612bbb21695f65397bec92cbecf2a9c	e193aa5f07e4806ea794c6ef7b08535e	NA	468377	246223689	data/raw/g4_phase1/PRJNA622860/SRR11474122/SRR11474122_1.fastq.gz	data/raw/g4_phase1/PRJNA622860/SRR11474122/SRR11474122_2.fastq.gz	NA	DOWNLOADED	PASS	183175999
PRJNA622860	SAMN14531035	SRR11474121	WITHIN_HOST_VALIDATION	UNKNOWN	SINGLE_HOST_SOURCE_STATED (no BioSample patient code)	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/021/SRR11474121/SRR11474121_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/021/SRR11474121/SRR11474121_2.fastq.gz	NA	204110807	97524955	106585852	NA	0b926a0ccf15ff1e819c5bd1c1bc0891	1186e77692680281673109cf2ac6d774	NA	1146005	316363462	data/raw/g4_phase1/PRJNA622860/SRR11474121/SRR11474121_1.fastq.gz	data/raw/g4_phase1/PRJNA622860/SRR11474121/SRR11474121_2.fastq.gz	NA	DOWNLOADED	PASS	204110807
