locus_id	motif_class	motif_class_interpretation	g5_primary_association_eligibility	audit_status	known_pv	g7_technical_eligibility	reasons
HPL00030	TRINUCLEOTIDE	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE_FLAGGED_PROVISIONAL	NA
HPL00031	TRINUCLEOTIDE	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE_FLAGGED_PROVISIONAL	NA
HPL00032	MONO_GC	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	BOUNDARY_AMBIGUOUS	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_BOUNDARY_AMBIGUOUS
HPL00033	DINUCLEOTIDE	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE_FLAGGED_PROVISIONAL	NA
HPL00034	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00035	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00036	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00037	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00038	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00039	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	INSUFFICIENT_TO_RESOLVE	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_INSUFFICIENT_TO_RESOLVE
HPL00040	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00041	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	INELIGIBLE_PLATFORM_CONFOUNDED_CALLABILITY	INSUFFICIENT_TO_RESOLVE	NO	NOT_ELIGIBLE	PLATFORM_CONFOUNDED_CALLABILITY;BOUNDARY_AUDIT_INSUFFICIENT_TO_RESOLVE
HPL00042	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00043	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00044	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00045	MONO_GC	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE_FLAGGED_PROVISIONAL	NA
HPL00046	TRINUCLEOTIDE	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE_FLAGGED_PROVISIONAL	NA
HPL00047	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00048	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	INSUFFICIENT_TO_RESOLVE	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_INSUFFICIENT_TO_RESOLVE
HPL00049	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00050	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00051	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00052	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	INELIGIBLE_PLATFORM_CONFOUNDED_CALLABILITY	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	PLATFORM_CONFOUNDED_CALLABILITY;BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00053	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00054	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	INSUFFICIENT_TO_RESOLVE	NO	NOT_ELIGIBLE	BOUNDARY_AUDIT_INSUFFICIENT_TO_RESOLVE
HPL00055	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00056	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00057	TRINUCLEOTIDE	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	INSUFFICIENT_TO_RESOLVE	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_INSUFFICIENT_TO_RESOLVE
HPL00058	DINUCLEOTIDE	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	PENDING_G7	BOUNDARY_AMBIGUOUS	NO	NOT_ELIGIBLE	BOUNDARY_AUDIT_BOUNDARY_AMBIGUOUS
HPL00059	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00060	DINUCLEOTIDE	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE_FLAGGED_PROVISIONAL	NA
HPL00061	MONO_GC	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE_FLAGGED_PROVISIONAL	NA
HPL00062	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	INSUFFICIENT_TO_RESOLVE	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_INSUFFICIENT_TO_RESOLVE
HPL00063	TRINUCLEOTIDE	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE_FLAGGED_PROVISIONAL	NA
HPL00064	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00065	TRINUCLEOTIDE	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE_FLAGGED_PROVISIONAL	NA
HPL00066	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	INSUFFICIENT_TO_RESOLVE	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_INSUFFICIENT_TO_RESOLVE
HPL00067	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	INELIGIBLE_PLATFORM_CONFOUNDED_CALLABILITY	BOUNDARY_STABLE	NO	NOT_ELIGIBLE	PLATFORM_CONFOUNDED_CALLABILITY
HPL00068	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00069	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	INSUFFICIENT_TO_RESOLVE	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_INSUFFICIENT_TO_RESOLVE
HPL00070	TRINUCLEOTIDE	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE_FLAGGED_PROVISIONAL	NA
HPL00071	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00072	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00073	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00074	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00075	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00076	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00077	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00078	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	INELIGIBLE_PLATFORM_CONFOUNDED_CALLABILITY	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	PLATFORM_CONFOUNDED_CALLABILITY;BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00079	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00080	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00081	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00082	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00083	TRINUCLEOTIDE	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE_FLAGGED_PROVISIONAL	NA
HPL00084	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00085	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00086	MONO_GC	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	INSUFFICIENT_TO_RESOLVE	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_INSUFFICIENT_TO_RESOLVE
HPL00087	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00088	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00089	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00090	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00091	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	INSUFFICIENT_TO_RESOLVE	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_INSUFFICIENT_TO_RESOLVE
HPL00092	MONO_GC	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	INSUFFICIENT_TO_RESOLVE	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_INSUFFICIENT_TO_RESOLVE
HPL00093	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00094	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	INSUFFICIENT_TO_RESOLVE	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_INSUFFICIENT_TO_RESOLVE
HPL00095	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	INSUFFICIENT_TO_RESOLVE	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_INSUFFICIENT_TO_RESOLVE
HPL00096	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	INSUFFICIENT_TO_RESOLVE	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_INSUFFICIENT_TO_RESOLVE
HPL00097	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00098	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00099	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00100	MONO_GC	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	PENDING_G7	BOUNDARY_AMBIGUOUS	NO	NOT_ELIGIBLE	BOUNDARY_AUDIT_BOUNDARY_AMBIGUOUS
HPL00101	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	BOUNDARY_STABLE	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5
HPL00102	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_AMBIGUOUS	NO	NOT_ELIGIBLE	BOUNDARY_AUDIT_BOUNDARY_AMBIGUOUS
HPL00103	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00104	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00105	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00106	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00107	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00108	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00109	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00110	MONO_GC	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	ORTHOLOGY_AMBIGUOUS	YES	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS;KNOWN_PV_INSUFFICIENT_EMPIRICAL_VALIDATION
HPL00111	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00112	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00113	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00114	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00115	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	INELIGIBLE_PLATFORM_CONFOUNDED_CALLABILITY	BOUNDARY_AMBIGUOUS	NO	NOT_ELIGIBLE	PLATFORM_CONFOUNDED_CALLABILITY;BOUNDARY_AUDIT_BOUNDARY_AMBIGUOUS
HPL00116	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00117	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00118	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00119	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00120	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00121	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00122	DINUCLEOTIDE	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	PENDING_G7	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00123	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00124	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	INELIGIBLE_PLATFORM_CONFOUNDED_CALLABILITY	INSUFFICIENT_TO_RESOLVE	NO	NOT_ELIGIBLE	PLATFORM_CONFOUNDED_CALLABILITY;BOUNDARY_AUDIT_INSUFFICIENT_TO_RESOLVE
HPL00125	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
