sample_id	REF_26695	REF_J99	REF_HPAG1	REF_G27	REF_P12	REF_B8	REF_Shi470	REF_India7	SAMN10919737	SAMN10919736	SAMN10919734	SAMN10919735	SAMN10919733	SAMN10919731	SAMN10919732	SAMN10919729	SAMN10919730	SAMN10919728	SAMN10919727	SAMN10919726	SAMN10919725	SAMN10919724	SAMN10919723	SAMN10919722	SAMN10919721	SAMN10919720	SAMN10919719	SAMN10919718	SAMN10919717	SAMN10919716	SAMN10919715	SAMN10919714	SAMN16801852	SAMN16801851	SAMN16801850	SAMN16801849	SAMN16801848	SAMN16801847	SAMN16801846	SAMN16801845	SAMN16801844	SAMN16801843
SAMN10919723	0.765432	0.698764	0.749218	0.757764	0.770744	0.763142	0.795906	0.775260	0.703824	0.606272	0.740554	0.776010	0.613999	0.667555	0.742929	0.664887	0.756219	0.697917	0.719590	0.662207	0.706339	0.736576	0.000000	0.738966	0.750000	0.600420	0.705502	0.697068	0.697068	0.743719	0.708844	0.713826	0.850575	0.853868	0.843262	0.829725	0.851894	0.857143	0.850575	0.856489	0.845266	0.858447
SAMN10919722	0.727735	0.738966	0.733376	0.722045	0.723676	0.738966	0.771499	0.753894	0.695369	0.738966	0.605300	0.734978	0.697917	0.726115	0.716303	0.726926	0.710509	0.701299	0.712170	0.730964	0.702141	0.624484	0.738966	0.000000	0.724490	0.717949	0.720409	0.711340	0.728544	0.562185	0.670213	0.719590	0.840580	0.841922	0.821450	0.810232	0.835856	0.839234	0.829040	0.841251	0.822144	0.846597
SAMN10919721	0.734177	0.751561	0.729352	0.708844	0.712999	0.722045	0.756992	0.749218	0.680739	0.730964	0.719590	0.752339	0.732573	0.747652	0.710509	0.724490	0.722861	0.701299	0.739761	0.735777	0.726926	0.693664	0.750000	0.724490	0.000000	0.738966	0.714653	0.739761	0.724490	0.707175	0.692810	0.740554	0.814464	0.826979	0.817967	0.794454	0.817967	0.815166	0.821450	0.820059	0.822837	0.846597
SAMN10919720	0.768473	0.678996	0.756992	0.750000	0.766954	0.754670	0.790079	0.776010	0.666667	0.569385	0.722045	0.755445	0.594519	0.637602	0.730159	0.629198	0.754670	0.691956	0.677249	0.652291	0.702141	0.717949	0.600420	0.717949	0.738966	0.000000	0.695369	0.656817	0.673740	0.712170	0.712999	0.699610	0.847926	0.855180	0.849252	0.826291	0.853868	0.849914	0.837209	0.847262	0.837885	0.865570
SAMN10919719	0.744507	0.706339	0.746867	0.743719	0.740554	0.725303	0.779744	0.756219	0.660415	0.685076	0.703824	0.753894	0.706339	0.691956	0.722861	0.691099	0.738170	0.684211	0.713826	0.717126	0.694517	0.704663	0.705502	0.720409	0.714653	0.695369	0.000000	0.655914	0.673740	0.716303	0.674619	0.708844	0.832458	0.840580	0.817967	0.814464	0.823529	0.836533	0.821450	0.838560	0.820755	0.845932
SAMN10919718	0.766194	0.699610	0.770744	0.766194	0.761610	0.759305	0.789346	0.781973	0.627316	0.636673	0.717126	0.779744	0.680739	0.691099	0.745295	0.615917	0.758535	0.706339	0.679868	0.655914	0.661312	0.712999	0.697068	0.711340	0.739761	0.656817	0.655914	0.000000	0.602376	0.728544	0.715478	0.725303	0.848590	0.841251	0.833139	0.831776	0.837885	0.853211	0.843262	0.848590	0.839907	0.857143
SAMN10919717	0.751561	0.695369	0.747652	0.735777	0.740554	0.753894	0.784933	0.767714	0.661312	0.659517	0.720409	0.772253	0.692810	0.688525	0.734978	0.630137	0.742929	0.710509	0.690242	0.679868	0.687664	0.722861	0.697068	0.728544	0.724490	0.673740	0.673740	0.602376	0.000000	0.733376	0.717949	0.721228	0.840580	0.839234	0.833819	0.815166	0.833139	0.841922	0.841251	0.833819	0.837209	0.849914
SAMN10919716	0.725303	0.727735	0.722045	0.715478	0.722861	0.718770	0.768473	0.748436	0.682477	0.736576	0.554913	0.733376	0.675497	0.714653	0.699610	0.722861	0.701299	0.652291	0.722045	0.739761	0.704663	0.586572	0.743719	0.562185	0.707175	0.712170	0.716303	0.728544	0.733376	0.000000	0.603352	0.694517	0.841251	0.847262	0.828354	0.803112	0.831776	0.835856	0.831776	0.843931	0.828354	0.852553
SAMN10919715	0.734177	0.733376	0.736576	0.726926	0.717949	0.720409	0.769231	0.752339	0.621640	0.711340	0.659517	0.744507	0.692810	0.709677	0.712170	0.717126	0.722861	0.427673	0.755445	0.731769	0.693664	0.653199	0.708844	0.670213	0.692810	0.712999	0.674619	0.715478	0.717949	0.603352	0.000000	0.708844	0.820059	0.829040	0.815867	0.803112	0.823529	0.825602	0.820059	0.827667	0.822837	0.841922
SAMN10919714	0.745295	0.710509	0.729352	0.742929	0.756219	0.745295	0.781231	0.744507	0.720409	0.702983	0.709677	0.757764	0.711340	0.704663	0.730159	0.711340	0.744507	0.704663	0.707175	0.705502	0.719590	0.704663	0.713826	0.719590	0.740554	0.699610	0.708844	0.725303	0.721228	0.694517	0.708844	0.000000	0.838560	0.853868	0.836533	0.819362	0.847262	0.838560	0.836533	0.852553	0.834499	0.855180
SAMN16801852	0.804543	0.853211	0.802395	0.820059	0.811646	0.805970	0.744507	0.811646	0.816568	0.850575	0.839234	0.844598	0.846597	0.851894	0.821450	0.848590	0.824912	0.827667	0.854525	0.853211	0.850575	0.837885	0.850575	0.840580	0.814464	0.847926	0.832458	0.848590	0.840580	0.841251	0.820059	0.838560	0.000000	0.768473	0.729352	0.750000	0.750781	0.741347	0.747652	0.738966	0.743719	0.769988
SAMN16801851	0.822144	0.857796	0.820059	0.821450	0.820059	0.821450	0.763142	0.816568	0.831093	0.849914	0.849252	0.849252	0.849914	0.859099	0.829725	0.850575	0.844598	0.837885	0.851235	0.854525	0.851894	0.845932	0.853868	0.841922	0.826979	0.855180	0.840580	0.841251	0.839234	0.847262	0.829040	0.853868	0.768473	0.000000	0.769231	0.788613	0.769231	0.782715	0.774510	0.763142	0.787144	0.792999
SAMN16801850	0.795181	0.846597	0.806683	0.803828	0.813056	0.799520	0.735777	0.796631	0.815867	0.847262	0.825602	0.835178	0.839907	0.843931	0.819362	0.843931	0.830409	0.824912	0.841922	0.846597	0.840580	0.826979	0.843262	0.821450	0.817967	0.849252	0.817967	0.833139	0.833819	0.828354	0.815867	0.836533	0.729352	0.769231	0.000000	0.760843	0.744507	0.762376	0.769231	0.742138	0.750781	0.778253
SAMN16801849	0.778999	0.839907	0.781973	0.789346	0.785671	0.792271	0.730159	0.771499	0.794454	0.825602	0.815166	0.813056	0.827667	0.830409	0.798077	0.826291	0.800959	0.810939	0.836533	0.835856	0.834499	0.813760	0.829725	0.810232	0.794454	0.826291	0.814464	0.831776	0.815166	0.803112	0.803112	0.819362	0.750000	0.788613	0.760843	0.000000	0.749218	0.768473	0.767714	0.766194	0.757764	0.786408
SAMN16801848	0.805257	0.858447	0.811646	0.813760	0.809524	0.815166	0.744507	0.802395	0.824221	0.857796	0.835178	0.838560	0.847926	0.855835	0.826979	0.851894	0.832458	0.829725	0.849252	0.856489	0.853211	0.830409	0.851894	0.835856	0.817967	0.853868	0.823529	0.837885	0.833139	0.831776	0.823529	0.847262	0.750781	0.769231	0.744507	0.749218	0.000000	0.761610	0.765432	0.757764	0.754670	0.785671
SAMN16801847	0.803828	0.854525	0.814464	0.824221	0.815867	0.814464	0.750000	0.807394	0.814464	0.857143	0.834499	0.843931	0.851894	0.856489	0.817967	0.856489	0.837209	0.831776	0.853868	0.858447	0.857796	0.837885	0.857143	0.839234	0.815166	0.849914	0.836533	0.853211	0.841922	0.835856	0.825602	0.838560	0.741347	0.782715	0.762376	0.768473	0.761610	0.000000	0.761610	0.743719	0.758535	0.784933
SAMN16801846	0.800959	0.852553	0.797354	0.817268	0.807394	0.808105	0.750781	0.804543	0.817268	0.843262	0.833139	0.827667	0.835856	0.848590	0.818665	0.849252	0.827667	0.826291	0.844598	0.858447	0.849914	0.833819	0.850575	0.829040	0.821450	0.837209	0.821450	0.843262	0.841251	0.831776	0.820059	0.836533	0.747652	0.774510	0.769231	0.767714	0.765432	0.761610	0.000000	0.763906	0.756219	0.790810
SAMN16801845	0.808815	0.849914	0.813056	0.829040	0.820755	0.821450	0.744507	0.810232	0.816568	0.847926	0.843262	0.845266	0.843931	0.854525	0.820059	0.850575	0.840580	0.839907	0.852553	0.849252	0.847926	0.844598	0.856489	0.841251	0.820059	0.847262	0.838560	0.848590	0.833819	0.843931	0.827667	0.852553	0.738966	0.763142	0.742138	0.766194	0.757764	0.743719	0.763906	0.000000	0.751561	0.774510
SAMN16801844	0.800959	0.850575	0.802395	0.821450	0.810939	0.807394	0.748436	0.800240	0.819362	0.847926	0.825602	0.833819	0.839234	0.845932	0.829040	0.839234	0.831093	0.818665	0.850575	0.852553	0.842593	0.833139	0.845266	0.822144	0.822837	0.837885	0.820755	0.839907	0.837209	0.828354	0.822837	0.834499	0.743719	0.787144	0.750781	0.757764	0.754670	0.758535	0.756219	0.751561	0.000000	0.787144
SAMN16801843	0.825602	0.865570	0.827667	0.836533	0.836533	0.835178	0.774510	0.826979	0.840580	0.862990	0.852553	0.853211	0.864926	0.864282	0.840580	0.857143	0.849252	0.847926	0.862344	0.862990	0.860399	0.858447	0.858447	0.846597	0.846597	0.865570	0.845932	0.857143	0.849914	0.852553	0.841922	0.855180	0.769988	0.792999	0.778253	0.786408	0.785671	0.784933	0.790810	0.774510	0.787144	0.000000
