param_id	value	description	calibration_basis
min_dominant_fraction	0.4	Dominant allele must hold at least this fraction of unit-aligned reads, else UNCALLABLE.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
max_offunit_fraction	0.3	Reads whose tract length is not a whole number of motif units (vs reference): if more than this fraction, UNCALLABLE.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
strand_bias_min_reads	10	Strand-bias check needs at least this many dominant-allele fragments.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
strand_bias_min_frac	0.1	Dominant allele fragments must have both strands at least this fraction, else strand bias.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
strand_bias_action	DOWNGRADE	DOWNGRADE (confidence one class lower), UNCALLABLE, or IGNORE.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
stutter_a_MONO	0.0	stutter intercept for -1 unit stutter, mononucleotide (estimate from data).	ESTIMATED from PRJNA622860 evidence at loci invariant across all callable isolates (g5_noise_estimation.tsv); safety factor 2.0 applied at call time
stutter_b_MONO	0.003018	stutter slope per dominant copy, mononucleotide.	ESTIMATED from PRJNA622860 evidence at loci invariant across all callable isolates (g5_noise_estimation.tsv); safety factor 2.0 applied at call time
stutter_a_DI	0.0	stutter intercept for -1 unit, dinucleotide.	ESTIMATED from PRJNA622860 evidence at loci invariant across all callable isolates (g5_noise_estimation.tsv); safety factor 2.0 applied at call time
stutter_b_DI	0.008371	stutter slope per copy, dinucleotide.	ESTIMATED from PRJNA622860 evidence at loci invariant across all callable isolates (g5_noise_estimation.tsv); safety factor 2.0 applied at call time
stutter_a_POLY	0.0	stutter intercept for -1 unit, motif length 3-6.	ESTIMATED from PRJNA622860 evidence at loci invariant across all callable isolates (g5_noise_estimation.tsv); safety factor 2.0 applied at call time
stutter_b_POLY	0.000223	stutter slope per copy, motif length 3-6.	ESTIMATED from PRJNA622860 evidence at loci invariant across all callable isolates (g5_noise_estimation.tsv); safety factor 2.0 applied at call time
stutter_up_ratio	0.6668	Rate of +1 unit stutter relative to -1 unit.	ESTIMATED from PRJNA622860 evidence at loci invariant across all callable isolates (g5_noise_estimation.tsv); safety factor 2.0 applied at call time
stutter_k2_ratio	0.0142	Each additional unit of distance multiplies the stutter rate by this factor.	ESTIMATED from PRJNA622860 evidence at loci invariant across all callable isolates (g5_noise_estimation.tsv); safety factor 2.0 applied at call time
background_rate	0.001	Per-read rate of any other length allele (sequencing/mapping error floor), applies at >=3 units and to non-unit shifts.	ESTIMATED from PRJNA622860 evidence at loci invariant across all callable isolates (g5_noise_estimation.tsv); safety factor 2.0 applied at call time
noise_safety_factor	2.0	Multiplier on model noise rate used in the mixture test (conservative).	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
mixed_alpha	1e-06	Binomial upper-tail p-value below which a minor allele exceeds noise (MIXED).	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
mixed_candidate_alpha	0.001	Looser p-value used for MIXTURE_CANDIDATE.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
mixed_min_minor_fraction	0.05	Minimum minor allele fraction for MIXED.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
mixed_min_minor_reads	4	Minimum minor allele fragments for MIXED.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
mixed_min_total_reads	20	Minimum unit-aligned reads for MIXED.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
mixed_min_minor_strand_frac	0.1	Minor allele reads must be on both strands, each at least this fraction, for MIXED.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
candidate_min_fraction	0.1	Minor allele at or above this fraction but not meeting MIXED is MIXTURE_CANDIDATE.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
candidate_min_reads	3	Minimum minor fragments for MIXTURE_CANDIDATE.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
conf_high_min_reads	20	Spanning fragments for HIGH confidence.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
conf_medium_min_reads	10	Spanning fragments for MEDIUM confidence.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
conf_min_dominant_ci_low	0.7	Non-mixed call with Wilson lower bound of dominant fraction below this is downgraded one class.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
cds_on_min_orf_fraction	0.9	ON requires ORF >= this fraction of annotated protein length (FS02).	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
orf_downstream_extend	600	Reference bases appended past CDS end when translating a frameshifted CDS.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
variant_min_fraction	0.5	Anchor mismatch at same site/base in >= this fraction of dominant reads counts as a sample variant (FS04).	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
variant_min_reads	3	Minimum reads carrying an anchor variant to count as a sample variant.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
