cohort	contrast	locus_class	locus_id	pass_screen	n_callable	callability	n_distinct	minor_count	reason
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00178	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00071	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00121	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00884	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00816	False	7	0.6364	1	0	CALLABILITY_0.636_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00288	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00244	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00353	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00840	False	6	0.5455	1	0	CALLABILITY_0.545_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL01140	False	4	0.3636	1	0	CALLABILITY_0.364_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00582	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00277	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00224	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00259	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00306	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00364	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00150	False	10	0.9091	2	1	MINOR_ALLELE_COUNT_1_LT_2
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00841	False	5	0.4545	1	0	CALLABILITY_0.455_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00119	False	7	0.6364	1	0	CALLABILITY_0.636_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00214	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00316	False	0	0.0	0	0	CALLABILITY_0.000_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00109	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00210	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00202	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00404	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00436	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00181	False	9	0.8182	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00276	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00047	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00206	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00053	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00120	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00245	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00085	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00314	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00193	False	3	0.2727	1	0	CALLABILITY_0.273_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00430	False	7	0.6364	1	0	CALLABILITY_0.636_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00811	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00290	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00007	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00116	False	7	0.6364	1	0	CALLABILITY_0.636_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00344	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00087	False	5	0.4545	1	0	CALLABILITY_0.455_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00839	False	8	0.7273	1	0	CALLABILITY_0.727_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00222	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00106	False	7	0.6364	1	0	CALLABILITY_0.636_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00485	False	9	0.8182	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00501	False	8	0.7273	1	0	CALLABILITY_0.727_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00138	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00010	False	7	0.6364	5	2	CALLABILITY_0.636_LT_0.80
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00177	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00194	False	8	0.7273	2	2	CALLABILITY_0.727_LT_0.80
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00699	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00603	False	5	0.4545	2	1	CALLABILITY_0.455_LT_0.80;MINOR_ALLELE_COUNT_1_LT_2
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00241	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00345	False	9	0.8182	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00157	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00415	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00189	False	9	0.8182	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00347	False	7	0.6364	1	0	CALLABILITY_0.636_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00274	False	7	0.6364	1	0	CALLABILITY_0.636_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00379	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00383	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00531	False	7	0.6364	1	0	CALLABILITY_0.636_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL01053	False	3	0.2727	2	1	CALLABILITY_0.273_LT_0.80;MINOR_ALLELE_COUNT_1_LT_2
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00209	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00460	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00155	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00261	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00414	False	9	0.8182	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00134	False	2	0.1818	1	0	CALLABILITY_0.182_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00231	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00187	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00540	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00075	False	7	0.6364	1	0	CALLABILITY_0.636_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00141	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00223	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00357	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00107	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00423	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00424	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00782	False	8	0.7273	1	0	CALLABILITY_0.727_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00818	False	3	0.2727	1	0	CALLABILITY_0.273_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00934	False	7	0.6364	2	3	CALLABILITY_0.636_LT_0.80
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00361	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00609	False	11	1.0	2	1	MINOR_ALLELE_COUNT_1_LT_2
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00443	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00321	False	3	0.2727	3	1	CALLABILITY_0.273_LT_0.80;MINOR_ALLELE_COUNT_1_LT_2
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00225	False	8	0.7273	1	0	CALLABILITY_0.727_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00163	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00386	False	8	0.7273	2	1	CALLABILITY_0.727_LT_0.80;MINOR_ALLELE_COUNT_1_LT_2
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00105	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00376	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00234	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00849	False	3	0.2727	1	0	CALLABILITY_0.273_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00229	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00502	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00521	False	5	0.4545	1	0	CALLABILITY_0.455_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00165	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00360	False	9	0.8182	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00025	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00125	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00008	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00342	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00702	False	8	0.7273	1	0	CALLABILITY_0.727_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00013	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00172	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00679	False	7	0.6364	3	2	CALLABILITY_0.636_LT_0.80
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00804	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00304	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00496	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00264	False	5	0.4545	1	0	CALLABILITY_0.455_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00352	False	5	0.4545	2	1	CALLABILITY_0.455_LT_0.80;MINOR_ALLELE_COUNT_1_LT_2
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00482	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00613	False	8	0.7273	2	1	CALLABILITY_0.727_LT_0.80;MINOR_ALLELE_COUNT_1_LT_2
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00318	False	5	0.4545	1	0	CALLABILITY_0.455_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00166	False	11	1.0	2	1	MINOR_ALLELE_COUNT_1_LT_2
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00243	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00751	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00024	False	7	0.6364	1	0	CALLABILITY_0.636_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00325	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00369	False	8	0.7273	1	0	CALLABILITY_0.727_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00108	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00544	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00043	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00838	False	2	0.1818	1	0	CALLABILITY_0.182_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00365	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00242	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00246	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00442	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00645	False	11	1.0	2	1	MINOR_ALLELE_COUNT_1_LT_2
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00311	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00111	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
