biosample	run_accession	locus_id	g7_locus_class	member_used	member_conflict	callable	uncallable_reason	spanning_reads	dominant_bp	dominant_fraction	confidence_class	mixed_flag	functional_state
SAMN16801843	SRR13089486	HPL00053	PRIMARY_TECHNICAL	HPL00053_India7	NONE	YES	.	48	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00055	PRIMARY_TECHNICAL	HPL00055_Shi470	NONE	YES	.	18	8	1.0000	MEDIUM	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00060	PROVISIONAL_TECHNICAL	HPL00060_26695	NONE	NO	NO_SPANNING_READS	0			NA	NA	UNCALLABLE
SAMN16801843	SRR13089486	HPL00061	PROVISIONAL_TECHNICAL	HPL00061_26695	NONE	YES	.	9	11	0.7778	LOW	NONE	OFF
SAMN16801843	SRR13089486	HPL00063	PROVISIONAL_TECHNICAL	HPL00063_26695	NONE	YES	.	63	12	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00064	PRIMARY_TECHNICAL	HPL00064_26695	NONE	YES	.	51	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00065	PROVISIONAL_TECHNICAL	HPL00065_HPAG1	NONE	YES	.	49	12	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00068	PRIMARY_TECHNICAL	HPL00068_P12	NONE	YES	.	24	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00070	PROVISIONAL_TECHNICAL	HPL00070_J99	NONE	YES	.	27	12	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00071	PRIMARY_TECHNICAL	HPL00071_26695	NONE	YES	.	43	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00072	PRIMARY_TECHNICAL	HPL00072_26695	NONE	YES	.	64	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00073	PRIMARY_TECHNICAL	HPL00073_J99	NONE	YES	.	38	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00074	PRIMARY_TECHNICAL	HPL00074_26695	NONE	YES	.	36	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00075	PRIMARY_TECHNICAL	HPL00075_J99	NONE	YES	.	33	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00076	PRIMARY_TECHNICAL	HPL00076_Shi470	NONE	YES	.	61	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00077	PRIMARY_TECHNICAL	HPL00077_26695	NONE	YES	.	46	8	0.9783	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00079	PRIMARY_TECHNICAL	HPL00079_Shi470	NONE	YES	.	40	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00080	PRIMARY_TECHNICAL	HPL00080_26695	NONE	YES	.	39	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00083	PROVISIONAL_TECHNICAL	HPL00083_26695	NONE	YES	.	34	13	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00084	PRIMARY_TECHNICAL	HPL00084_India7	NONE	YES	.	47	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00085	PRIMARY_TECHNICAL	HPL00085_Shi470	NONE	YES	.	42	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00087	PRIMARY_TECHNICAL	HPL00087_Shi470	NONE	YES	.	36	9	1.0000	HIGH	NONE	AMBIGUOUS
SAMN16801843	SRR13089486	HPL00089	PRIMARY_TECHNICAL	HPL00089_Shi470	NONE	YES	.	40	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00090	PRIMARY_TECHNICAL	HPL00090_26695	NONE	YES	.	30	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00099	PRIMARY_TECHNICAL	HPL00099_India7	NONE	YES	.	36	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00103	PRIMARY_TECHNICAL	HPL00103_26695	NONE	YES	.	26	15	0.7308	HIGH	MIXTURE_CANDIDATE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00104	PRIMARY_TECHNICAL	HPL00104_Shi470	NONE	YES	.	32	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00105	PRIMARY_TECHNICAL	HPL00105_26695	NONE	YES	.	31	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00106	PRIMARY_TECHNICAL	HPL00106_G27	NONE	YES	.	56	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00107	PRIMARY_TECHNICAL	HPL00107_J99	NONE	YES	.	37	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00108	PRIMARY_TECHNICAL	HPL00108_J99	NONE	YES	.	44	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00109	PRIMARY_TECHNICAL	HPL00109_Shi470	NONE	YES	.	38	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00111	PRIMARY_TECHNICAL	HPL00111_26695	NONE	YES	.	54	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00112	PRIMARY_TECHNICAL	HPL00112_P12	NONE	YES	.	34	9	0.9412	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00113	PRIMARY_TECHNICAL	HPL00113_26695	NONE	YES	.	39	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00116	PRIMARY_TECHNICAL	HPL00116_26695	NONE	YES	.	33	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00117	PRIMARY_TECHNICAL	HPL00117_P12	NONE	YES	.	39	9	1.0000	HIGH	NONE	AMBIGUOUS
SAMN16801843	SRR13089486	HPL00119	PRIMARY_TECHNICAL	HPL00119_Shi470	NONE	YES	.	30	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00120	PRIMARY_TECHNICAL	HPL00120_Shi470	NONE	YES	.	40	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00121	PRIMARY_TECHNICAL	HPL00121_J99	NONE	YES	.	33	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00123	PRIMARY_TECHNICAL	HPL00123_HPAG1	NONE	YES	.	38	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00125	PRIMARY_TECHNICAL	HPL00125_26695	NONE	YES	.	63	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00126	PRIMARY_TECHNICAL	HPL00126_HPAG1	NONE	YES	.	47	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00127	PRIMARY_TECHNICAL	HPL00127_B8	NONE	YES	.	42	9	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00134	PRIMARY_TECHNICAL	HPL00134_26695	NONE	NO	NO_SPANNING_READS	0			NA	NA	UNCALLABLE
SAMN16801843	SRR13089486	HPL00138	PRIMARY_TECHNICAL	HPL00138_26695	NONE	YES	.	42	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00139	PRIMARY_TECHNICAL	HPL00139_26695	NONE	YES	.	44	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00141	PRIMARY_TECHNICAL	HPL00141_HPAG1	NONE	YES	.	52	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00143	PRIMARY_TECHNICAL	HPL00143_26695	NONE	YES	.	39	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00145	PRIMARY_TECHNICAL	HPL00145_26695	NONE	NO	NO_SPANNING_READS	0			NA	NA	UNCALLABLE
SAMN16801843	SRR13089486	HPL00150	PRIMARY_TECHNICAL	HPL00150_P12	NONE	YES	.	47	9	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00151	PROVISIONAL_TECHNICAL	HPL00151_HPAG1	NONE	YES	.	33	7	0.8182	HIGH	MIXTURE_CANDIDATE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00154	PRIMARY_TECHNICAL	HPL00154_Shi470	NONE	YES	.	47	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00155	PRIMARY_TECHNICAL	HPL00155_Shi470	NONE	YES	.	42	9	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00156	PRIMARY_TECHNICAL	HPL00156_26695	NONE	YES	.	38	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00157	PRIMARY_TECHNICAL	HPL00157_P12	NONE	YES	.	60	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00158	PRIMARY_TECHNICAL	HPL00158_26695	NONE	YES	.	48	7	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00162	PRIMARY_TECHNICAL	HPL00162_26695	NONE	YES	.	15	8	1.0000	MEDIUM	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00163	PRIMARY_TECHNICAL	HPL00163_G27	NONE	YES	.	39	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00165	PRIMARY_TECHNICAL	HPL00165_26695	NONE	YES	.	48	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00166	PRIMARY_TECHNICAL	HPL00166_P12	NONE	YES	.	30	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00169	PRIMARY_TECHNICAL	HPL00169_J99	NONE	YES	.	35	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00170	PRIMARY_TECHNICAL	HPL00170_26695	NONE	NO	NOT_CALLER_ELIGIBLE:NO:not_uniquely_anchorable				NA	NA	NOT_APPLICABLE
SAMN16801843	SRR13089486	HPL00172	PRIMARY_TECHNICAL	HPL00172_B8	NONE	YES	.	41	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00174	PRIMARY_TECHNICAL	HPL00174_26695	NONE	YES	.	39	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00177	PRIMARY_TECHNICAL	HPL00177_G27	NONE	YES	.	30	10	0.9667	HIGH	NONE	AMBIGUOUS
SAMN16801843	SRR13089486	HPL00178	PRIMARY_TECHNICAL	HPL00178_P12	NONE	YES	.	30	8	0.9667	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00181	PRIMARY_TECHNICAL	HPL00181_26695	NONE	YES	.	42	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00183	PRIMARY_TECHNICAL	HPL00183_J99	NONE	YES	.	19	8	1.0000	MEDIUM	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00187	PRIMARY_TECHNICAL	HPL00187_J99	NONE	YES	.	36	9	0.9722	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00189	PRIMARY_TECHNICAL	HPL00189_HPAG1	NONE	YES	.	24	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00191	PRIMARY_TECHNICAL	HPL00191_26695	NONE	YES	.	51	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00193	PRIMARY_TECHNICAL	HPL00193_26695	NONE	NO	NO_SPANNING_READS	0			NA	NA	UNCALLABLE
SAMN16801843	SRR13089486	HPL00194	PRIMARY_TECHNICAL	HPL00194_India7	NONE	YES	.	26	9	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00197	PROVISIONAL_TECHNICAL	HPL00197_B8	NONE	YES	.	36	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00198	PRIMARY_TECHNICAL	HPL00198_26695	NONE	YES	.	32	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00199	PRIMARY_TECHNICAL	HPL00199_HPAG1	NONE	YES	.	35	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00202	PRIMARY_TECHNICAL	HPL00202_Shi470	NONE	YES	.	27	9	1.0000	HIGH	NONE	AMBIGUOUS
SAMN16801843	SRR13089486	HPL00204	PRIMARY_TECHNICAL	HPL00204_26695	NONE	YES	.	48	8	0.9792	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00206	PRIMARY_TECHNICAL	HPL00206_26695	NONE	YES	.	34	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00209	PRIMARY_TECHNICAL	HPL00209_Shi470	NONE	YES	.	55	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00210	PRIMARY_TECHNICAL	HPL00210_26695	NONE	YES	.	30	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00214	PRIMARY_TECHNICAL	HPL00214_J99	NONE	YES	.	31	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00222	PRIMARY_TECHNICAL	HPL00222_Shi470	NONE	YES	.	49	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00223	PRIMARY_TECHNICAL	HPL00223_HPAG1	NONE	YES	.	34	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00224	PRIMARY_TECHNICAL	HPL00224_26695	NONE	YES	.	36	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00225	PRIMARY_TECHNICAL	HPL00225_26695	NONE	YES	.	36	8	0.9722	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00229	PRIMARY_TECHNICAL	HPL00229_Shi470	NONE	YES	.	26	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00230	PROVISIONAL_TECHNICAL	HPL00230_26695	NONE	YES	.	44	12	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00231	PRIMARY_TECHNICAL	HPL00231_26695	NONE	YES	.	59	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00232	PRIMARY_TECHNICAL	HPL00232_Shi470	NONE	YES	.	33	8	0.9394	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00234	PRIMARY_TECHNICAL	HPL00234_26695	NONE	YES	.	54	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00239	PRIMARY_TECHNICAL	HPL00239_Shi470	NONE	YES	.	48	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00241	PRIMARY_TECHNICAL	HPL00241_26695	NONE	YES	.	16	8	1.0000	MEDIUM	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00242	PRIMARY_TECHNICAL	HPL00242_P12	NONE	YES	.	40	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00243	PRIMARY_TECHNICAL	HPL00243_HPAG1	NONE	YES	.	44	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00244	PRIMARY_TECHNICAL	HPL00244_Shi470	NONE	YES	.	23	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00245	PRIMARY_TECHNICAL	HPL00245_26695	NONE	NO	NO_SPANNING_READS	0			NA	NA	UNCALLABLE
SAMN16801843	SRR13089486	HPL00246	PRIMARY_TECHNICAL	HPL00246_P12	NONE	YES	.	24	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00247	PRIMARY_TECHNICAL	HPL00247_J99	NONE	YES	.	33	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00251	PRIMARY_TECHNICAL	HPL00251_HPAG1	NONE	YES	.	45	8	0.9778	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00259	PRIMARY_TECHNICAL	HPL00259_26695	NONE	YES	.	46	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00261	PRIMARY_TECHNICAL	HPL00261_HPAG1	NONE	YES	.	20	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00262	PRIMARY_TECHNICAL	HPL00262_India7	NONE	YES	.	45	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00264	PRIMARY_TECHNICAL	HPL00264_B8	NONE	YES	.	29	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00267	PRIMARY_TECHNICAL	HPL00267_26695	NONE	YES	.	35	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00270	PRIMARY_TECHNICAL	HPL00270_HPAG1	NONE	YES	.	36	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00273	PRIMARY_TECHNICAL	HPL00273_G27	NONE	YES	.	32	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00274	PRIMARY_TECHNICAL	HPL00274_India7	NONE	YES	.	30	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00275	PRIMARY_TECHNICAL	HPL00275_J99	NONE	YES	.	51	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00276	PRIMARY_TECHNICAL	HPL00276_26695	NONE	YES	.	43	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00277	PRIMARY_TECHNICAL	HPL00277_26695	NONE	YES	.	47	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00288	PRIMARY_TECHNICAL	HPL00288_P12	NONE	YES	.	16	8	1.0000	MEDIUM	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00289	PRIMARY_TECHNICAL	HPL00289_Shi470	NONE	YES	.	17	9	0.9412	MEDIUM	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00290	PRIMARY_TECHNICAL	HPL00290_Shi470	NONE	YES	.	17	8	1.0000	MEDIUM	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00291	PROVISIONAL_TECHNICAL	HPL00291_26695	NONE	YES	.	54	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00292	PRIMARY_TECHNICAL	HPL00292_26695	NONE	NO	NO_SPANNING_READS	0			NA	NA	UNCALLABLE
SAMN16801843	SRR13089486	HPL00293	PRIMARY_TECHNICAL	HPL00293_G27	NONE	YES	.	33	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00297	PRIMARY_TECHNICAL	HPL00297_Shi470	NONE	YES	.	44	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00299	PROVISIONAL_TECHNICAL	HPL00299_26695	NONE	YES	.	35	12	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00301	PRIMARY_TECHNICAL	HPL00301_Shi470	NONE	YES	.	32	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00303	PRIMARY_TECHNICAL	HPL00303_26695	NONE	YES	.	40	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00304	PRIMARY_TECHNICAL	HPL00304_26695	NONE	YES	.	32	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00305	PRIMARY_TECHNICAL	HPL00305_26695	NONE	YES	.	27	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00306	PRIMARY_TECHNICAL	HPL00306_26695	NONE	YES	.	56	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00311	PRIMARY_TECHNICAL	HPL00311_B8	NONE	YES	.	39	8	0.9744	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00312	PROVISIONAL_TECHNICAL	HPL00312_P12	NONE	YES	.	36	13	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00313	PRIMARY_TECHNICAL	HPL00313_26695	NONE	YES	.	53	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00314	PRIMARY_TECHNICAL	HPL00314_26695	NONE	YES	.	41	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00316	PRIMARY_TECHNICAL	HPL00316_Shi470	NONE	NO	INSUFFICIENT_SPANNING_READS(1<8)	1			NA	NA	UNCALLABLE
SAMN16801843	SRR13089486	HPL00318	PRIMARY_TECHNICAL	HPL00318_26695	NONE	NO	NO_SPANNING_READS	0			NA	NA	UNCALLABLE
SAMN16801843	SRR13089486	HPL00319	PRIMARY_TECHNICAL	HPL00319_26695	NONE	NO	NO_SPANNING_READS	0			NA	NA	UNCALLABLE
SAMN16801843	SRR13089486	HPL00321	PRIMARY_TECHNICAL	HPL00321_26695	NONE	NO	NO_SPANNING_READS	0			NA	NA	UNCALLABLE
SAMN16801843	SRR13089486	HPL00322	PRIMARY_TECHNICAL	HPL00322_G27	NONE	YES	.	63	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00325	PRIMARY_TECHNICAL	HPL00325_Shi470	NONE	YES	.	42	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00329	PRIMARY_TECHNICAL	HPL00329_26695	NONE	YES	.	35	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00330	PROVISIONAL_TECHNICAL	HPL00330_HPAG1	NONE	YES	.	42	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00332	PRIMARY_TECHNICAL	HPL00332_26695	NONE	YES	.	37	8	1.0000	HIGH	NONE	ALLELE_STATE
